;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
105;10891645;11170815;12467863;12944524;15046657;15772354;16894575;17336547;18955907;19533912;19948232;21596771;22297729;23265635;24944217;25087073;26541443;28043955
106;11069977;11305887;12099909;12830347;15453972;16225562;16752105;17389487;18487006;19720089;20920489;21812571;22797274;23853714;23299955;25864952;27842291;27918912
107;10784583;11697943;12411267;12814579;15528107;15297367;16626972;17133392;18548194;18845172;20074647;21458503;22617625;23886985;24578157;25727386;27163799;28823896
108;11095716;11133788;11875570;12546829;14670578;15854766;17050709;17403529;18383662;18826418;21119752;21382887;22487549;23270676;24799134;26478961;27351599;28399434
109;10744920;11493699;12111932;12547465;15294222;16597762;15917482;18274617;18088081;19585350;21159952;21256225;23134591;22980918;24589297;24526569;26318935;28157228
110;10860799;11710962;12498750;15046247;15251914;15769202;16919483;17600730;18369149;19348727;20861391;19949389;23028415;23624491;23813209;26154253;27622136;28242794
111;11045694;11554810;12202075;12948731;15099413;15961229;16481440;17851092;18243737;19118194;20861435;22448769;22716999;23110878;24844746;25904779;25100854;28264984
112;10903579;11321593;12379601;12559238;15065257;16155370;16459107;17210136;18786512;19254959;21106678;21571475;22561357;22019203;23964100;26074021;27342938;28806742
113;10652398;11257281;11904454;14622064;15589089;16056222;16766207;17596425;18052782;19500677;19925189;21530073;21391268;23146252;24097375;25962875;27216819;28698387
114;10769393;11241689;12372029;12880790;15006665;16002029;17130414;17358020;18972345;19757952;20110214;21701059;23108370;23785139;24841078;25552570;26833431;28129058
115;10748437;11276237;12112767;12457755;15084488;16251440;16725189;17652579;18275329;19000717;20603454;21163275;22272622;24089502;24707408;25842294;26548403;28235080
116;10841380;11295343;11739262;12784932;14647291;15548555;16713305;16797166;18538586;19669694;20381625;22159107;21993055;23436990;24813149;26161667;27911758;27979789
117;10806027;11588589;12482076;12600721;15707792;15582114;17055988;17967992;18329292;19407219;20811301;21632942;22020967;23300210;25275449;26079873;26595602;28179221
118;10890447;11278194;12377168;12948727;14755595;16341578;16500337;17566054;18193453;19027077;20051784;20974270;21775199;22977199;24333778;24329012;26979659;28294458
119;11167041;11232912;12482087;14509573;15382253;15721247;16157491;18002725;18270065;18578598;20824394;21258327;21835244;22414772;24337077;25524648;27438091;28821655
120;11213758;11409752;11848708;14561442;15050590;15684052;16864832;17570644;18468692;19246324;20143387;20845394;22776461;23732948;24737724;26737339;26566185;26515661
121;11105036;11339378;12593457;12667853;15106844;15917455;16281285;17011115;18672003;19040270;19435709;22110714;23071644;23108276;24760841;26366748;26978737;27444732
122;10924219;11340411;12126502;12744952;15193625;16046146;16321546;17133399;18191573;19640506;19883666;21315749;22888232;23911835;24389503;25424870;26836623;28438709
123;10676622;11587904;11906231;12880911;15268916;15593271;17060134;17337340;18434197;19453637;20162285;21917799;21943555;23238435;24326095;26188258;26940623;27881393
124;11506646;11712845;11992658;12744947;15110733;16092534;17088503;18072830;18432480;19232022;19309291;20815733;21862447;23292620;24587104;26656277;26460586;28041979
125;11506645;11467914;12065841;12885854;15450225;15987577;17036359;16814889;18396415;19420264;19386636;21602650;22705442;23092213;24621494;25933389;27771559;28616382
126;10997579;11709489;12890986;12873392;15291723;15734360;16035037;17245349;18457512;19840035;20501508;21168512;22840553;24273225;24560572;26448878;26881222;28240295
127;10649576;11373136;12488739;12908746;15294221;15580269;16243545;16999980;17919932;19280375;20096712;21908126;22623534;23434917;24148922;25467219;27117869;28499176
128;11151737;11426233;12126503;12493125;15701230;15517279;16407765;17643400;18451192;19632283;20569645;21676108;21900071;23553164;25546581;26011751;26831102;28402506
129;10751455;11697942;12018958;12522194;15298783;16084830;16716387;17848185;19076399;19463958;20826428;21593110;22056529;24219776;24847853;25577576;25814470;28254633
130;10698062;11180437;12591565;12753963;15849900;16055068;16996009;17614283;18958150;19073160;19914383;20406530;22387662;24012136;24910070;26047332;27280153;27671502
131;10993455;11236838;11970809;12477703;15449354;15766765;16181792;17955540;18177711;19225169;19626564;21563883;21985031;23567885;24972755;25984889;26771948;27797090
132;11068232;11306631;12009262;14586167;15538191;15999342;17069470;17329129;17997329;19261423;20056024;21334444;22563486;23221019;25047449;25959271;26750576;28522185
133;10717412;11571223;11832444;14572528;15312815;15860344;17136593;17976583;18692173;19294642;20080151;21432722;21183458;23389691;24477579;25829142;27656016;29285569
134;10883389;11506536;12482088;12812834;15310849;15808981;16459105;17110130;18978780;19100844;20498351;21094685;22459682;22884992;24760360;26272730;27374729;29268696
135;10791680;11502421;12429598;12634278;15570155;15884095;17946854;17624993;18358455;19350564;20627130;22114292;22222502;22832388;25030840;25497221;27429808;27696176
136;11212367;11163619;11992655;14643096;15509382;15759570;16154766;17492693;18058813;18649349;19651221;21546221;22429244;23179063;24818856;26558773;27076433;29049593
137;10902902;11552019;11973024;14527597;15073515;15978843;16627465;17368300;18037453;18823245;20228805;21624566;22381402;23572081;24239689;23960206;26757368;27803286
138;11011024;11322985;11798267;12876462;15589091;15784424;16517183;17204817;18440572;19038276;20667854;21783177;21969422;23879896;24828649;25396692;27026652;27918531
139;11506653;11209958;11872243;14615423;15289277;15824333;16481375;17358019;18248738;18855557;20027574;21797981;22820634;23739982;24463494;26054305;27198937;28077303
140;11506643;11216516;12062028;12649315;15528104;15928057;16959412;17292590;18721889;19039594;21175010;21040792;21924359;23844132;23664952;26220748;26355384;28988149
141;11069306;11167061;12244080;14683698;15184035;15829085;17946439;17169343;18841455;19150520;20420884;21484949;21976356;23387763;24123715;25758167;27056455;29348944
142;10686117;11568634;11844736;14579403;15325364;15738116;17100789;17157916;18971476;19679112;20373402;21134387;23032389;24391713;23202664;25813780;26748411;27416610
143;10860792;11305889;12205731;12724182;15567485;15948565;15993658;17652594;18523591;19027072;20804370;21078400;21692147;23303334;24496497;25960314;26209847;26442666
144;11114177;11784444;12498755;12768579;14728918;15723061;16793895;17894602;18234684;19413453;20089919;21389239;22503498;23408738;24021837;26229446;27021283;28746066
145;10990503;11523273;11891830;12653987;15085133;16244649;16000652;17889562;19096714;19608370;20177671;21337414;22742929;23262174;24818080;25623846;26388147;28705766
146;11121695;11742243;11798384;14673803;15130591;16043797;16677947;17381256;18684912;19713619;20547425;21268666;20977537;23473547;24486613;26270820;26419390;27007121
